,Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
0,0,0,0-0,last_nonNull_CVSC100,639.5,0-1,0-2,0-2,4330.375,327259.25,
1,0,1,0-1,avg_dpd_last3Mo,12.5,0-3,0-4,0-4,1548.70703,12328.0,
2,0,2,0-2,utilization,0.687350035,0-5,0-6,0-5,696.875,314931.25,
3,0,3,0-3,utilization,0.692449987,0-7,0-8,0-8,446.150391,9187.0,
4,0,4,0-4,deposits_amount,0.00499999989,0-9,0-10,0-10,392.767456,3141.0,
5,0,5,0-5,last_nonNull_CVSC100,710.5,0-11,0-12,0-12,114.875,302395.0,
6,0,6,0-6,avg_dpd_last3Mo,11.5,0-13,0-14,0-14,310.789062,12536.25,
7,0,7,0-7,3MoInterestAvg,0.00499999989,0-15,0-16,0-15,57.3759766,4311.5,
8,0,8,0-8,deposits_amount,9.85499954,0-17,0-18,0-17,318.296875,4875.5,
9,0,9,0-9,utilization,0.975399971,0-19,0-20,0-20,167.463181,724.25,
10,0,10,0-10,last_nonNull_CVSC100,591.5,0-21,0-22,0-22,164.54541,2416.75,
11,0,11,0-11,3MoInterestAvg,0.0716666654,0-23,0-24,0-23,63.3828125,21850.0,
12,0,12,0-12,3MoInterestAvg,0.0416666642,0-25,0-26,0-25,18.875,280545.0,
13,0,13,0-13,GO152_backfill,4.5,0-27,0-28,0-28,60.53125,10840.5,
14,0,14,0-14,deposits_amount,9.21000004,0-29,0-30,0-29,122.411377,1695.75,
15,0,15,0-15,deposits_amount,25.7449989,0-31,0-32,0-32,9.4140625,2750.5,
16,0,16,0-16,GO152_backfill,4.5,0-33,0-34,0-34,22.6704102,1561.0,
17,0,17,0-17,last_nonNull_CVSC100,578.5,0-35,0-36,0-36,170.301193,485.0,
18,0,18,0-18,AT07_backfill,2.5,0-37,0-38,0-38,105.37793,4390.5,
19,0,19,0-19,3MoInterestAvg,5.58333349,0-39,0-40,0-40,47.9503479,357.0,
20,0,20,0-20,max_dpd_last6Mo,85.5,0-41,0-42,0-42,54.6052322,367.25,
21,0,21,0-21,3MoInterestAvg,5.43833351,0-43,0-44,0-43,52.7683716,993.5,
22,0,22,0-22,last3MonthUtilization,0.224198192,0-45,0-46,0-46,68.993042,1423.25,
23,0,23,0-23,GO21_backfill,3.5,0-47,0-48,0-48,2.66796875,14180.25,
24,0,24,0-24,AT07_backfill,2.5,0-49,0-50,0-50,20.7695312,7669.75,
25,0,25,0-25,Leaf,,,,,-0.199418038,257573.25,
26,0,26,0-26,max_dpd_last6Mo,26.5,0-51,0-52,0-52,13.7578125,22971.75,
27,0,27,0-27,AM04_backfill,0.5,0-53,0-54,0-54,44.1132812,10374.5,
28,0,28,0-28,utilization,1.01040006,0-55,0-56,0-56,18.503479,466.0,
29,0,29,0-29,max_dpd_last6Mo,76.5,0-57,0-58,0-58,47.197937,287.75,
30,0,30,0-30,AM04_backfill,0.5,0-59,0-60,0-60,51.3728027,1408.0,
31,0,31,0-31,AT07_backfill,3.5,0-61,0-62,0-62,9.02926636,137.75,
32,0,32,0-32,GO21_backfill,4.5,0-63,0-64,0-64,3.29101562,2612.75,
33,0,33,0-33,deposits_amount,0.140000001,0-65,0-66,0-66,8.6496582,1308.25,
34,0,34,0-34,deposits_amount,31.4150009,0-67,0-68,0-68,5.77310181,252.75,
35,0,35,0-35,last3MonthUtilization,1.02248538,0-69,0-70,0-70,68.7219086,131.0,
36,0,36,0-36,utilization,1.02524996,0-71,0-72,0-72,43.8907166,354.0,
37,0,37,0-37,last_nonNull_CVSC100,592.5,0-73,0-74,0-74,59.5146484,3085.0,
38,0,38,0-38,AT07_backfill,7.5,0-75,0-76,0-76,32.697998,1305.5,
39,0,39,0-39,last_nonNull_CVSC100,535.0,0-77,0-78,0-78,11.5593872,90.25,
40,0,40,0-40,avg_dpd_last3Mo,27.5,0-79,0-80,0-80,37.2390594,266.75,
41,0,41,0-41,GO21_backfill,5.5,0-81,0-82,0-82,28.2889023,307.75,
42,0,42,0-42,3MoInterestAvg,15.0633335,0-83,0-84,0-84,13.4847794,59.5,
43,0,43,0-43,GO21_backfill,5.5,0-85,0-86,0-86,7.28759766,63.75,
44,0,44,0-44,avg_dpd_last3Mo,68.5,0-87,0-88,0-88,49.92099,929.75,
45,0,45,0-45,Leaf,,,,,-0.178883865,164.75,
46,0,46,0-46,max_dpd_last6Mo,47.5,0-89,0-90,0-90,45.0942383,1258.5,
47,0,47,0-47,Leaf,,,,,-0.196290359,12641.75,
48,0,48,0-48,Leaf,,,,,-0.189412147,1538.5,
